scorer,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000
7,454.395,123.378,1.0,426.189,101.589,1.0,410.188,90.561,1.0,385.544,81.127,1.0,357.73,76.118,1.0,335.707,79.551,1.0,320.126,86.236,1.0,292.328,104.397,1.0,280.621,141.173,1.0,281.814,174.793,1.0,290.805,209.544,1.0,127.132,45.29,1.0,133.821,92.665,1.0,142.344,108.565,1.0,151.053,124.564,1.0,163.831,138.024,1.0,172.83,156.351,1.0,179.909,173.386,1.0,184.088,203.511,1.0,180.136,239.081,1.0,162.605,272.556,1.0,124.521,298.04,1.0
8,453.804,121.659,1.0,426.779,101.186,1.0,409.947,90.263,1.0,385.22,80.924,1.0,357.414,76.002,1.0,335.516,79.5,1.0,319.867,86.362,1.0,292.284,103.974,1.0,280.749,141.289,1.0,281.927,175.104,1.0,290.714,209.633,1.0,127.074,45.372,1.0,133.893,92.73,1.0,142.194,108.711,1.0,150.895,124.727,1.0,163.933,138.218,1.0,172.999,156.604,1.0,179.845,172.92,1.0,183.88,203.313,1.0,180.023,238.81,1.0,162.894,272.26,1.0,124.647,297.985,1.0
9,453.872,121.649,1.0,426.942,101.095,1.0,410.066,90.476,1.0,385.315,80.862,1.0,357.24,76.01,1.0,335.462,79.565,1.0,319.756,86.348,1.0,292.05,104.165,1.0,280.583,141.859,1.0,281.897,175.07,1.0,290.657,209.792,1.0,129.102,46.816,1.0,133.828,92.679,1.0,142.206,108.919,1.0,150.899,124.822,1.0,163.955,138.27,1.0,172.971,156.662,1.0,179.805,172.893,1.0,183.859,203.366,1.0,179.884,238.972,1.0,162.665,272.517,1.0,124.777,297.906,1.0
10,453.466,121.694,1.0,426.895,100.871,1.0,409.908,90.434,1.0,385.184,80.662,1.0,357.202,76.084,1.0,335.264,79.596,1.0,319.73,86.438,1.0,292.186,104.071,1.0,280.659,141.503,1.0,281.739,175.324,1.0,290.529,209.62,1.0,128.839,46.9,1.0,134.061,92.656,1.0,142.912,108.47,1.0,151.044,123.965,1.0,164.063,137.667,1.0,172.934,156.37,1.0,179.942,172.383,1.0,183.862,203.19,1.0,180.139,238.61,1.0,163.164,272.162,1.0,125.007,297.762,1.0
11,452.958,121.318,1.0,427.264,100.754,1.0,410.179,90.572,1.0,385.293,80.514,1.0,357.172,76.046,1.0,335.267,79.543,1.0,319.742,86.44,1.0,292.002,103.861,1.0,280.904,141.61,1.0,281.711,175.484,1.0,290.465,209.663,1.0,129.11,46.796,1.0,134.195,92.832,1.0,143.042,108.61,1.0,151.061,124.007,1.0,164.058,137.693,1.0,172.895,156.37,1.0,179.956,172.328,1.0,183.894,203.146,1.0,180.154,238.61,1.0,163.157,272.184,1.0,125.005,297.771,1.0
12,452.032,120.479,1.0,427.353,100.449,1.0,410.123,90.316,1.0,385.095,80.324,1.0,357.384,76.059,1.0,335.516,79.315,1.0,319.673,86.604,1.0,292.045,103.732,1.0,280.947,141.607,1.0,281.692,175.608,1.0,290.456,209.642,1.0,123.421,46.549,1.0,134.076,91.985,1.0,142.758,107.836,1.0,150.942,123.414,1.0,163.895,137.098,1.0,172.648,155.943,1.0,179.628,172.52,1.0,183.4,202.707,1.0,179.481,238.632,1.0,163.089,272.413,1.0,124.954,297.733,1.0
13,454.823,118.896,1.0,427.546,100.258,1.0,410.198,89.916,1.0,385.295,80.238,1.0,357.35,76.1,1.0,335.544,79.287,1.0,319.672,86.569,1.0,292.153,103.738,1.0,280.959,141.654,1.0,281.737,176.163,1.0,290.439,209.381,1.0,115.189,46.626,1.0,131.244,90.372,1.0,141.374,104.714,1.0,150.243,121.209,1.0,163.592,135.451,1.0,171.539,154.271,1.0,179.504,172.118,1.0,185.918,201.312,1.0,178.878,239.219,1.0,162.544,272.218,1.0,124.926,297.732,1.0
14,456.678,117.676,1.0,427.2,99.362,1.0,410.121,88.802,1.0,385.546,80.187,1.0,357.576,76.166,1.0,335.58,79.273,1.0,319.692,86.549,1.0,292.105,103.755,1.0,280.948,141.695,1.0,281.635,176.165,1.0,290.451,209.434,1.0,114.847,47.41,1.0,130.834,90.385,1.0,140.999,104.577,1.0,149.898,120.739,1.0,162.675,135.108,1.0,171.474,154.2,1.0,179.6,172.123,1.0,185.926,201.399,1.0,178.903,239.102,1.0,162.65,272.063,1.0,125.035,297.721,1.0
15,457.76,116.924,1.0,428.002,98.871,1.0,410.561,88.637,1.0,385.872,79.983,1.0,357.815,76.182,1.0,335.708,79.255,1.0,319.689,86.567,1.0,292.122,103.624,1.0,280.848,141.634,1.0,281.457,175.938,1.0,290.572,209.405,1.0,114.061,45.553,1.0,130.026,90.002,1.0,141.802,103.845,1.0,150.231,120.099,1.0,162.539,134.524,1.0,171.405,153.781,1.0,179.666,172.113,1.0,185.545,201.804,1.0,178.34,239.214,1.0,162.538,271.8,1.0,125.037,297.706,1.0
16,457.629,117.276,1.0,427.715,98.865,1.0,410.26,88.623,1.0,385.653,79.995,1.0,357.766,76.17,1.0,335.67,79.253,1.0,319.685,86.541,1.0,292.089,103.675,1.0,280.776,141.624,1.0,281.327,175.657,1.0,290.539,209.333,1.0,114.037,46.669,1.0,129.16,90.152,1.0,141.488,103.746,1.0,150.143,119.947,1.0,162.83,134.479,1.0,171.474,153.933,1.0,179.825,172.08,1.0,185.552,201.735,1.0,178.391,239.529,1.0,162.361,272.201,1.0,124.842,297.781,1.0
17,456.351,117.694,1.0,427.62,98.947,1.0,410.223,88.873,1.0,385.509,80.48,1.0,357.592,76.168,1.0,335.558,79.155,1.0,319.666,86.372,1.0,292.126,103.532,1.0,280.853,141.539,1.0,281.171,175.582,1.0,290.566,209.359,1.0,111.261,47.067,1.0,129.522,91.481,1.0,142.183,104.501,1.0,150.413,119.857,1.0,163.095,134.295,1.0,171.456,154.1,1.0,179.783,172.154,1.0,185.521,201.11,1.0,178.297,239.458,1.0,162.266,272.114,1.0,124.815,297.812,1.0
18,457.673,117.053,1.0,427.907,98.923,1.0,410.376,88.918,1.0,385.735,80.487,1.0,357.604,76.151,1.0,335.57,79.176,1.0,319.663,86.395,1.0,292.104,103.315,1.0,280.853,141.668,1.0,281.524,175.986,1.0,290.379,209.442,1.0,111.136,47.709,1.0,129.414,90.322,1.0,141.126,104.622,1.0,149.777,120.113,1.0,162.155,134.54,1.0,171.401,154.339,1.0,179.758,172.246,1.0,185.527,201.246,1.0,178.288,239.566,1.0,162.176,272.111,1.0,124.902,297.763,1.0
19,457.055,117.091,1.0,427.697,98.866,1.0,410.311,88.865,1.0,385.656,80.47,1.0,357.646,76.163,1.0,335.571,79.144,1.0,319.657,86.361,1.0,292.138,103.225,1.0,278.484,131.703,1.0,281.61,176.293,1.0,290.249,209.041,1.0,111.503,46.282,1.0,129.586,90.883,1.0,141.081,104.815,1.0,149.629,120.21,1.0,162.297,134.721,1.0,171.704,154.747,1.0,179.74,172.403,1.0,185.573,201.307,1.0,178.213,239.398,1.0,162.242,271.997,1.0,124.883,297.794,1.0
20,457.185,117.418,1.0,428.088,99.006,1.0,410.563,88.669,1.0,385.27,80.734,1.0,357.158,75.786,1.0,335.118,78.94,1.0,319.291,86.303,1.0,292.11,103.424,1.0,278.568,131.765,1.0,281.513,176.296,1.0,290.162,209.399,1.0,110.828,46.936,1.0,129.14,90.57,1.0,140.942,104.554,1.0,149.803,120.013,1.0,162.606,134.47,1.0,172.091,154.741,1.0,179.716,173.061,1.0,185.439,201.764,1.0,178.372,239.695,1.0,162.233,272.145,1.0,124.97,297.872,1.0
21,456.355,117.055,1.0,428.1,98.582,1.0,410.707,88.523,1.0,385.428,80.722,1.0,357.183,75.787,1.0,335.182,78.824,1.0,319.247,86.24,1.0,292.21,103.047,1.0,278.507,131.609,1.0,281.557,176.094,1.0,289.946,208.977,1.0,111.348,47.307,1.0,128.627,89.075,1.0,140.694,103.883,1.0,149.933,119.773,1.0,162.248,134.214,1.0,171.787,154.458,1.0,179.755,172.914,1.0,185.392,201.678,1.0,178.317,239.687,1.0,162.256,272.037,1.0,124.994,297.891,1.0
22,456.184,117.225,1.0,427.946,98.613,1.0,410.906,88.552,1.0,385.546,80.705,1.0,357.187,75.774,1.0,335.138,78.807,1.0,319.196,86.293,1.0,292.226,103.237,1.0,278.456,131.814,1.0,281.409,176.484,1.0,289.901,208.929,1.0,110.995,46.778,1.0,128.3,89.228,1.0,139.97,104.218,1.0,149.354,119.988,1.0,162.447,134.144,1.0,171.846,154.442,1.0,179.743,172.883,1.0,185.378,201.665,1.0,178.313,239.701,1.0,162.281,272.103,1.0,124.991,297.89,1.0
23,457.031,113.844,1.0,427.698,97.633,1.0,411.054,88.188,1.0,384.833,81.114,1.0,357.174,75.736,1.0,335.112,78.848,1.0,319.161,86.321,1.0,292.121,103.185,1.0,278.289,131.432,1.0,281.752,175.932,1.0,289.877,208.746,1.0,111.324,47.192,1.0,128.47,89.724,1.0,139.862,104.403,1.0,149.271,120.152,1.0,162.653,134.203,1.0,171.835,154.459,1.0,179.721,172.846,1.0,185.352,201.696,1.0,178.31,239.705,1.0,162.286,272.156,1.0,124.991,297.885,1.0
24,456.94,94.758,0.9929999709129333,424.658,93.613,1.0,411.498,87.441,1.0,385.084,82.389,1.0,356.719,76.804,1.0,334.604,79.596,1.0,317.589,87.052,1.0,290.591,103.139,1.0,277.504,131.495,1.0,281.563,176.296,1.0,289.818,208.766,1.0,111.323,47.189,1.0,128.464,89.693,1.0,139.858,104.369,1.0,149.281,120.169,1.0,162.618,134.214,1.0,171.839,154.451,1.0,179.773,172.833,1.0,185.337,201.677,1.0,178.316,239.703,1.0,162.271,272.147,1.0,124.993,297.887,1.0
25,458.714,97.922,1.0,425.067,93.008,1.0,406.065,88.218,1.0,384.706,82.371,1.0,356.988,77.161,1.0,334.692,79.947,1.0,317.964,87.037,1.0,290.6,102.722,1.0,277.485,131.258,1.0,281.39,175.916,1.0,289.821,208.896,1.0,111.66,47.286,1.0,129.025,91.495,1.0,140.4,105.526,1.0,149.474,120.859,1.0,163.491,134.748,1.0,172.133,154.792,1.0,179.742,172.786,1.0,185.323,201.655,1.0,178.298,239.751,1.0,162.254,272.138,1.0,124.989,297.89,1.0
26,460.423,102.664,1.0,425.137,94.054,1.0,405.211,88.233,1.0,384.44,82.781,1.0,358.772,78.906,1.0,335.808,80.653,1.0,318.998,86.843,1.0,290.813,102.811,1.0,276.808,130.37,1.0,281.249,176.169,1.0,289.482,208.452,1.0,111.553,47.057,1.0,128.456,91.327,1.0,140.461,105.472,1.0,149.438,120.865,1.0,163.418,134.707,1.0,172.101,154.735,1.0,179.741,172.803,1.0,185.334,201.649,1.0,178.347,239.601,1.0,164.715,272.08,1.0,124.997,297.861,1.0
27,460.017,93.019,1.0,425.757,92.97,1.0,410.671,86.64,1.0,383.441,81.949,1.0,359.755,78.927,1.0,336.01,80.477,1.0,318.56,86.889,1.0,290.113,101.361,1.0,275.855,130.102,1.0,281.167,176.549,1.0,289.595,208.708,1.0,111.851,47.155,1.0,128.365,91.32,1.0,140.302,105.035,1.0,149.423,120.483,1.0,162.961,134.614,1.0,172.04,154.591,1.0,179.833,172.813,1.0,185.359,201.63,1.0,178.385,239.598,1.0,164.718,272.086,1.0,125.0,297.863,1.0
28,459.042,87.833,1.0,426.403,91.416,1.0,406.192,88.567,1.0,384.601,83.166,1.0,359.301,79.161,1.0,335.755,80.77,1.0,318.52,86.985,1.0,290.18,101.437,1.0,275.814,129.986,1.0,281.026,176.408,1.0,289.678,208.624,1.0,110.115,47.093,1.0,128.43,90.592,1.0,139.915,105.305,1.0,149.225,120.654,1.0,162.959,134.671,1.0,172.082,154.661,1.0,179.902,172.754,1.0,185.367,201.664,1.0,178.3,239.831,1.0,162.201,272.171,1.0,125.067,297.89,1.0
29,463.002,79.131,1.0,425.204,88.858,1.0,406.783,87.739,1.0,383.566,82.822,1.0,360.215,79.738,1.0,336.23,80.801,1.0,318.015,87.404,1.0,288.576,102.72,1.0,274.501,131.216,1.0,280.004,176.064,1.0,288.325,209.599,1.0,111.185,47.491,1.0,128.228,91.283,1.0,140.053,105.336,1.0,149.464,120.663,1.0,163.168,134.798,1.0,172.131,154.671,1.0,179.968,172.721,1.0,185.363,201.675,1.0,178.299,239.859,1.0,162.186,272.18,1.0,125.079,297.896,1.0
30,458.659,67.345,1.0,428.066,80.992,1.0,408.524,85.648,1.0,384.371,83.958,1.0,360.968,81.881,1.0,336.675,81.581,1.0,318.049,86.692,1.0,289.619,103.322,1.0,273.117,130.144,1.0,278.034,175.921,1.0,288.862,209.754,1.0,111.309,47.137,1.0,128.485,91.378,1.0,140.317,105.479,1.0,149.478,120.692,1.0,163.108,134.806,1.0,172.127,154.732,1.0,180.043,172.69,1.0,185.373,201.687,1.0,178.33,239.859,1.0,162.162,272.21,1.0,125.08,297.898,1.0
31,443.108,48.272,1.0,425.165,71.296,1.0,403.749,78.684,1.0,384.086,83.689,1.0,358.987,83.577,1.0,335.572,84.86,1.0,317.92,90.008,1.0,287.568,104.37,1.0,266.909,128.598,1.0,278.003,176.499,1.0,290.265,209.06,1.0,116.346,48.394,1.0,129.609,91.929,1.0,140.822,104.892,1.0,149.782,120.536,1.0,162.9,135.095,1.0,171.968,154.68,1.0,180.122,172.691,1.0,185.453,201.67,1.0,178.474,239.75,1.0,162.218,272.32,1.0,125.094,297.876,1.0
